company_code,year,quarter,total_assets,total_liabilities,equity,shares_outstanding,revenue,net_profit,bvps,roa,roe,eps,pe,sector_kind,symbol,gross_profit
90,2022,2,0.0,0.0,0.0,1064181553.0,0.0,0.0,0.0,,,0.0,0.0,general,APU,0.0
90,2022,4,842134424000.0,208557180000.0,603414176000.0,1064181553.0,850239813500.0,125897562000.0,567.0,14.9498,20.8642,118.3046,12.6031,general,APU,372027035000.0
90,2023,2,778431840150.0,169978389443.0,608453450707.0,1064181553.0,346040371438.0,74218409082.0,572.0,9.5343,12.1979,69.7422,18.3103,general,APU,104065387995.0
90,2023,4,782638887643.0,138056426530.0,644582461113.0,1064181553.0,759196509234.0,154545477651.0,606.0,19.7467,23.9761,145.2247,8.3388,general,APU,242911485086.0
90,2024,2,830136302729.0,118158772412.0,711977530317.0,1064181553.0,412752615074.0,114219057536.0,669.0,13.7591,16.0425,107.3304,9.1673,general,APU,159083479510.0
90,2024,4,835176285869.0,72112707659.0,763063578210.0,1064181553.0,881973865929.0,223803217293.0,717.0,26.7971,29.3296,210.3055,4.7597,general,APU,333021665423.0
90,2025,2,876217889814.0,76494548031.0,799723341783.0,1064181553.0,412230860804.0,105896037808.0,751.0,12.0856,13.2416,99.5094,9.7295,general,APU,151665786702.0
90,2025,4,888723849706.0,49807411007.0,838916438699.0,1064181553.0,853020950690.0,214365566001.0,788.0,24.1206,25.5527,201.437,4.8501,general,APU,326672345095.0
90,2026,2,1177996111864.0,299714441304.0,878281670561.0,1064181553.0,667120808328.0,104799375558.0,825.0,8.8964,11.9323,98.4789,9.8419,general,APU,282567432198.0
557,2022,1,0.0,0.0,0.0,1114252034.0,0.0,0.0,0.0,,,0.0,0.0,general,CUMN,0.0
557,2022,2,0.0,0.0,0.0,1114252034.0,0.0,0.0,0.0,,,0.0,0.0,general,CUMN,0.0
557,2022,4,161893395100.0,138963257500.0,22930137600.0,1114252034.0,261722622200.0,0.0,21.0,0.0,0.0,0.0,0.0,general,CUMN,0.0
557,2023,2,170201394670.0,166077207472.0,4124187198.0,1114252034.0,167518584342.0,0.0,4.0,0.0,0.0,0.0,0.0,general,CUMN,0.0
557,2023,4,189541913744.0,199559126701.0,0.0,1114252034.0,391659417333.0,0.0,0.0,0.0,,0.0,0.0,general,CUMN,0.0
557,2024,2,231603689722.0,170198981051.0,61404708671.0,1114252034.0,253851881992.0,9836169490.0,55.0,4.247,16.0186,8.8276,21.8633,general,CUMN,26360626698.0
557,2024,4,255804158828.0,181459563894.0,75179021939.0,1114252034.0,567886472252.0,23610482758.0,67.0,9.2299,31.4057,21.1895,9.8402,general,CUMN,63716316120.0
557,2025,1,0.0,0.0,0.0,1114252034.0,0.0,0.0,0.0,,,0.0,0.0,general,CUMN,0.0
