date,APU,CUMN,GLMT,GOV,KHAN,LEND,MSE,QPAY,SUU,TTL,TUM,XAC
2021-09-24,1404.0,,,335.31,,46.19,,,420.0,8000.0,376.37,
2021-10-01,1403.0,,,326.13,,46.33,,,417.0,7900.0,352.08,
2021-10-08,1318.0,,,307.52,,44.64,,,400.58,7875.0,351.86,
2021-10-15,1381.0,,,312.25,,43.6,,,399.0,8000.0,356.14,
2021-10-22,1398.0,,,327.73,,43.61,,,404.73,8000.0,380.38,
2021-10-29,1395.0,,,325.31,,42.5,,,404.0,7900.0,399.73,
2021-11-05,1380.0,,,326.64,,42.74,,,403.0,7495.0,375.0,
2021-11-12,1457.0,,,326.2,,41.0,,,404.5,7495.0,399.09,
2021-11-19,1490.0,211.61,,336.68,,42.18,,,404.09,7485.0,397.53,
2021-11-26,1490.0,209.96,,333.51,,42.33,,,404.9,7455.0,421.04,
2021-12-03,1543.0,207.65,,326.57,,41.0,,,404.0,7050.0,430.0,
2021-12-10,1715.0,206.46,,324.69,,40.9,,,410.0,7495.0,520.18,
2021-12-17,1801.0,207.0,,328.39,,40.63,,,624.79,7500.0,654.28,
2021-12-24,1774.0,202.04,,331.73,,40.5,,,745.66,7490.0,710.68,
2021-12-31,1804.0,207.01,,325.64,,40.31,,,591.4,7555.0,676.13,
2022-01-07,1894.0,202.05,,311.5,,39.79,,,599.8,7500.0,735.64,
2022-01-14,1740.0,199.16,,300.57,,39.29,,,597.39,7480.0,703.83,
2022-01-21,1697.0,194.8,,287.08,,39.2,,,550.23,7415.0,640.91,
2022-01-28,1733.0,192.55,,306.19,,43.38,,,595.19,7435.0,634.02,
2022-02-04,1743.0,193.51,,300.76,,43.55,,,599.49,7345.0,643.41,
2022-02-11,1738.0,193.4,,298.44,,46.46,,,594.01,7300.0,639.72,
2022-02-18,1697.0,192.98,,297.25,,43.67,,,596.34,7200.0,630.96,
2022-02-25,1603.0,180.49,,291.0,,41.02,,,550.0,7000.0,499.03,
2022-03-04,1675.0,180.21,,284.85,,41.18,,,531.14,7000.0,604.93,
2022-03-11,1608.0,179.2,,266.3,,38.04,,,530.0,6805.0,558.84,
2022-03-18,1573.0,179.0,,284.78,,38.89,,,509.04,6860.0,554.99,
2022-03-25,1590.0,179.26,,284.58,,38.0,,,519.12,6880.0,594.39,
2022-04-01,1577.0,177.0,,287.76,,38.8,,,529.52,6800.0,584.89,
2022-04-08,1551.0,177.0,,285.21,,38.94,,,569.97,7100.0,526.95,
2022-04-15,1389.0,179.69,,279.0,,37.8,,,559.5,6920.0,501.9,
2022-04-22,1365.0,212.38,,279.9,,38.24,,,530.0,7000.0,529.88,
2022-04-29,1400.0,209.35,,271.28,,39.01,,,550.0,6990.0,497.08,
2022-05-06,1377.0,203.9,,270.51,,40.46,,,561.93,6780.0,495.03,
2022-05-13,1355.0,201.34,,271.35,,38.0,,,550.0,6190.0,435.49,
2022-05-20,1365.0,200.23,,269.56,,37.48,,,560.0,6500.0,461.64,
2022-05-27,1363.0,191.93,,271.99,,37.95,,,540.82,6510.0,488.35,
2022-06-03,1367.0,197.67,,268.0,,37.57,,,523.2,6800.0,462.0,
2022-06-10,1358.0,199.83,,267.98,,37.0,,,518.09,6550.0,442.4,
2022-06-17,1225.0,199.16,,255.01,,35.12,,,521.14,6550.0,419.96,
2022-06-24,1329.0,200.41,,261.12,,34.97,,,522.42,6880.0,409.85,
2022-07-01,1334.0,199.89,,268.26,,34.96,,,517.21,6500.0,419.93,
2022-07-08,1336.0,203.1,,270.4,,35.02,,,515.0,6675.0,426.94,
2022-07-15,,,,,,,,,,,,
2022-07-22,1348.0,203.1,,271.83,,34.99,,,515.0,7095.0,423.62,
2022-07-29,1353.0,205.73,,287.99,,33.89,,,493.19,8005.0,439.41,
2022-08-05,1405.0,208.05,,278.0,,34.58,,,501.0,8425.0,433.89,
2022-08-12,1389.0,207.96,,275.03,,33.07,,,499.0,8410.0,432.51,
2022-08-19,1385.0,208.5,,278.28,,31.47,,,501.0,9090.0,418.73,
2022-08-26,1375.0,204.68,,282.56,,31.8,,,484.9,9000.0,400.72,
2022-09-02,1373.0,197.99,,290.0,,30.44,,,490.0,8510.0,400.0,
2022-09-09,1368.0,195.02,,287.58,,30.08,,,499.04,8850.0,393.44,
2022-09-16,1342.0,194.0,,286.98,,31.53,,,479.52,8575.0,379.62,
2022-09-23,1298.0,187.04,,264.94,,30.1,,,477.82,7560.0,356.69,
2022-09-30,1296.0,208.0,,264.72,,30.0,,,485.0,7850.0,362.12,
2022-10-07,1291.0,192.03,,256.0,,28.17,,,480.0,7850.0,352.83,
