date,symbol,shares,price,fee
2025-03-11,APU,60.9013,993.0,604.7503
2025-03-11,CUMN,121.8027,201.0,244.8234
2025-03-11,GOV,60.9013,247.0,150.4263
2025-03-11,KHAN,36.5408,1306.0,477.2229
2025-03-12,MFG,60.9013,935.0,569.4275
2025-03-12,MSE,0.6090,314.0,1.9123
2025-03-13,MSE,60.2923,314.0,189.3179
2025-05-06,MSE,121.8027,279.0,339.8295
2025-05-15,ERS,2.4361,17000.0,414.1291
2025-10-22,QPAY,97.4421,205.0,199.7564
2025-10-23,MFG,0.1218,910.0,1.1084
2025-10-27,MFG,1.4616,910.0,13.3009
2026-06-03,APU,3.2887,956.0,31.4397
2026-06-03,APU,5.1157,956.0,48.9062
2026-06-03,APU,5.1157,956.0,48.9062
2026-06-03,APU,0.3654,956.0,3.4933
2026-06-03,APU,0.3654,956.0,3.4933
2026-06-03,APU,0.3654,956.0,3.4933
2026-06-03,CUMN,12.0585,279.99,33.7625
2026-06-03,CUMN,24.7259,280.0,69.2326
2026-06-03,CUMN,12.0585,280.0,33.7637
2026-06-03,CUMN,0.7308,280.0,2.0463
2026-06-04,QPAY,24.3605,274.92,66.9720
2026-06-04,QPAY,28.6236,273.98,78.4227
2026-08-31,MSE,71.6200,383.0,274.3045
2026-08-31,MSE,1.4616,383.0,5.5981
2026-09-11,ERS,0.6090,20600.0,125.4568
